id,Passenger Type,Age,Type of Trip,Ticket Class,Trip Distance,Seat comfort,Departure/Arrival time convenient,Dining Service,Platform Location,Onboard wifi service,Onboard entertainment,Online support,Ease of Online booking,Train Staff Service,Leg room service,Baggage handling,Ticket Verification Service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,nation,Train Model Year,satisfaction
1,Frequent Traveler,59,Work Commute,First Class,1470,4,4,4,4,5,4,4,4,4,4,4,5,4,3,7,0,Norway,1964,satisfied
2,Occasional Traveler,22,Work Commute,Standard,1771,1,1,1,4,4,1,5,4,3,4,3,1,4,4,0,0,Spain,1967,dissatisfied
3,Frequent Traveler,55,Work Commute,First Class,3657,0,5,0,2,4,5,4,4,4,4,4,3,4,3,12,8,Switzerland,1941,satisfied
4,Frequent Traveler,41,Work Commute,First Class,1796,0,4,0,1,2,4,5,3,3,3,3,5,3,3,0,0,Belgium,1980,satisfied
5,Frequent Traveler,42,Work Commute,Standard,1709,2,3,3,3,2,2,2,2,4,4,4,1,3,2,0,0,Belgium,1987,dissatisfied
6,Frequent Traveler,36,Work Commute,First Class,3035,3,2,2,2,1,4,4,3,3,2,3,4,3,3,48,38,Belgium,2009,dissatisfied
7,Occasional Traveler,28,Work Commute,Standard,1904,1,2,2,2,2,2,1,2,1,5,1,4,5,2,0,0,Sweden,1964,dissatisfied
8,Frequent Traveler,58,Leisure Trip,Standard,2496,5,5,5,5,4,5,4,3,3,4,3,5,3,5,61,102,Austria,1947,satisfied
9,Frequent Traveler,54,Work Commute,First Class,3260,5,5,5,5,2,5,4,4,4,4,4,4,4,4,1,0,Switzerland,1942,satisfied
10,Frequent Traveler,25,Work Commute,First Class,3640,2,4,2,4,2,2,2,2,4,4,1,4,3,2,86,63,Switzerland,1941,dissatisfied
11,Frequent Traveler,32,Work Commute,First Class,1465,4,4,4,4,5,5,5,5,3,5,5,3,4,5,36,81,Spain,1974,satisfied
12,Frequent Traveler,52,Work Commute,Standard,812,3,4,4,4,3,4,4,3,3,3,3,3,3,3,0,0,Sweden,1973,dissatisfied
13,Occasional Traveler,29,Work Commute,First Class,2773,4,4,4,3,1,4,1,1,4,5,4,5,4,1,0,0,Netherlands,2002,satisfied
14,Frequent Traveler,56,Work Commute,First Class,55,3,3,3,3,4,5,5,4,4,4,4,3,4,,0,0,Norway,1950,satisfied
15,Frequent Traveler,57,Leisure Trip,Standard,1099,2,2,5,2,4,5,4,4,4,5,4,4,4,4,0,0,Sweden,1952,satisfied
16,Frequent Traveler,57,Work Commute,First Class,728,3,3,3,3,2,5,5,4,4,4,4,5,4,3,4,0,Belgium,1973,satisfied
17,Frequent Traveler,48,Work Commute,Standard,339,5,5,1,5,3,3,1,5,5,5,5,2,5,3,0,0,Netherlands,1995,satisfied
18,Frequent Traveler,23,Work Commute,First Class,2074,1,1,1,1,1,2,1,1,4,1,5,5,1,1,0,3,Belgium,1931,satisfied
19,Frequent Traveler,49,Work Commute,Comfort,491,1,2,2,2,5,3,3,1,1,1,1,2,1,2,0,0,Spain,1959,dissatisfied
20,Occasional Traveler,28,Work Commute,First Class,2161,5,5,5,3,1,5,1,1,3,3,4,3,5,1,0,0,Germany,1975,satisfied
21,Frequent Traveler,36,Leisure Trip,Standard,2095,1,5,1,3,1,1,1,1,4,3,4,3,5,1,0,4,Switzerland,1984,dissatisfied
22,Frequent Traveler,41,Work Commute,First Class,3553,0,0,0,3,2,4,4,2,2,5,5,1,2,2,23,19,Germany,1995,satisfied
23,Frequent Traveler,16,Work Commute,First Class,1675,4,4,4,4,5,5,3,5,4,3,4,1,2,5,0,0,Switzerland,2005,satisfied
24,Frequent Traveler,66,Work Commute,Standard,1031,1,1,1,1,1,1,1,1,1,3,4,4,3,1,0,0,Belgium,1986,dissatisfied
25,Frequent Traveler,58,Work Commute,Standard,1878,3,1,1,1,3,3,3,3,1,4,4,2,4,3,43,46,Italy,2016,dissatisfied
26,,47,Work Commute,First Class,499,3,3,3,3,2,5,4,4,4,4,4,4,4,5,47,36,Netherlands,2003,satisfied
27,Frequent Traveler,61,Leisure Trip,Standard,2338,4,4,4,4,3,4,3,3,4,2,4,5,5,3,0,0,Sweden,1994,satisfied
28,Frequent Traveler,47,Work Commute,First Class,3112,1,5,5,5,2,4,4,1,1,1,1,4,1,1,0,0,Norway,2011,dissatisfied
29,Frequent Traveler,53,Leisure Trip,Standard,2102,4,4,4,4,2,4,5,4,4,4,4,4,4,4,0,0,Sweden,2017,satisfied
30,Frequent Traveler,48,Leisure Trip,Standard,2241,2,4,3,1,3,3,3,3,3,5,4,3,5,3,0,0,Switzerland,2016,dissatisfied
31,Frequent Traveler,59,Work Commute,First Class,1682,3,3,3,3,5,4,5,3,3,2,3,5,3,3,2,0,Switzerland,1999,satisfied
32,Frequent Traveler,13,Leisure Trip,Standard,2696,5,5,5,5,4,5,5,4,4,4,4,5,4,3,0,0,France,1984,satisfied
33,Occasional Traveler,49,Work Commute,Standard,910,2,4,2,4,1,2,1,1,1,3,4,1,4,1,0,0,Germany,1990,dissatisfied
34,Frequent Traveler,58,Work Commute,First Class,2119,2,2,2,2,3,4,5,5,5,5,4,4,5,5,0,0,Norway,1992,satisfied
35,Frequent Traveler,51,Work Commute,First Class,959,4,4,4,4,3,4,5,4,4,4,4,3,4,5,2,0,Switzerland,1991,satisfied
36,Occasional Traveler,23,Work Commute,Standard,1574,1,1,1,3,4,1,4,4,2,5,4,2,4,4,22,24,Italy,1987,dissatisfied
37,Frequent Traveler,49,Work Commute,First Class,3599,1,1,1,1,4,5,4,5,5,5,5,3,5,4,0,0,Italy,1977,satisfied
38,Frequent Traveler,20,Work Commute,Standard,2170,2,5,5,5,2,3,2,2,2,4,3,4,4,2,8,2,Italy,1974,dissatisfied
39,Occasional Traveler,39,Work Commute,First Class,2144,1,1,1,3,3,1,3,3,1,3,4,3,3,3,1,0,Norway,1957,dissatisfied
40,Frequent Traveler,48,Work Commute,First Class,3825,5,5,5,5,5,3,1,4,4,4,3,4,4,1,0,5,Netherlands,1968,
41,Frequent Traveler,24,Work Commute,First Class,2594,1,1,1,1,5,5,5,5,3,2,4,2,5,5,0,0,Italy,2009,satisfied
42,Frequent Traveler,43,Leisure Trip,Standard,852,1,1,1,1,4,4,4,4,3,3,5,4,5,4,0,0,France,2007,satisfied
43,Frequent Traveler,49,Leisure Trip,Standard,2917,2,5,2,4,3,2,3,3,3,5,3,4,4,3,0,0,Belgium,1939,dissatisfied
44,,23,Leisure Trip,Standard,1884,4,4,2,2,5,2,5,5,4,2,4,4,4,5,1,11,Austria,1985,dissatisfied
45,Occasional Traveler,20,Work Commute,Standard,2071,1,1,1,3,1,1,1,1,4,4,4,4,4,1,26,10,Italy,1941,dissatisfied
46,Frequent Traveler,30,Work Commute,First Class,1533,5,2,5,5,5,5,5,5,1,3,1,2,1,5,0,0,Netherlands,1998,satisfied
47,Frequent Traveler,77,Work Commute,First Class,1660,3,3,4,3,,2,2,3,3,3,3,3,3,4,0,0,Germany,1989,dissatisfied
48,Frequent Traveler,36,Work Commute,First Class,1681,2,3,3,3,5,4,3,2,2,2,2,3,2,3,20,12,Spain,1943,dissatisfied
49,Frequent Traveler,44,Leisure Trip,Comfort,232,5,4,5,4,5,5,5,,4,5,4,4,4,4,0,0,Germany,1955,satisfied
50,Occasional Traveler,36,Work Commute,Comfort,1846,2,2,2,3,2,2,2,2,2,5,4,4,4,2,36,35,Sweden,1936,dissatisfied
51,Frequent Traveler,80,Work Commute,Comfort,1278,5,3,3,3,5,5,5,5,3,5,3,5,2,5,0,0,France,1951,satisfied
52,Frequent Traveler,46,Work Commute,First Class,4288,3,5,2,5,2,3,2,1,3,4,4,2,1,2,168,201,Switzerland,1955,dissatisfied
53,Frequent Traveler,35,Work Commute,First Class,385,2,2,3,2,2,5,5,4,4,4,4,4,4,5,0,0,Switzerland,1961,satisfied
54,Frequent Traveler,61,Work Commute,Standard,371,3,1,1,1,4,3,3,3,3,3,3,3,3,2,0,36,Belgium,1953,dissatisfied
55,Frequent Traveler,61,Leisure Trip,Standard,353,4,4,4,4,3,5,5,5,5,5,5,5,5,3,0,0,Spain,1969,satisfied
56,Frequent Traveler,44,Leisure Trip,First Class,2051,1,0,1,5,1,5,5,4,2,5,5,5,5,5,83,142,Norway,1934,dissatisfied
57,Frequent Traveler,21,Work Commute,First Class,3527,5,5,5,5,3,3,,5,3,4,3,3,5,3,54,49,Belgium,1994,satisfied
58,Occasional Traveler,57,Work Commute,Standard,1560,3,0,3,1,1,3,1,1,2,3,3,5,3,1,0,0,Austria,2019,dissatisfied
59,Frequent Traveler,58,Work Commute,First Class,2824,5,5,5,5,3,5,5,4,4,4,4,5,4,4,0,0,France,1997,satisfied
60,Frequent Traveler,25,Leisure Trip,Comfort,1876,4,5,4,3,4,4,5,4,3,2,4,1,4,4,82,70,Belgium,1986,dissatisfied
61,Frequent Traveler,62,Leisure Trip,First Class,959,2,2,2,2,2,5,5,4,4,4,4,4,4,5,0,0,Belgium,2003,satisfied
62,Frequent Traveler,42,Leisure Trip,Comfort,1951,4,5,4,1,2,4,2,2,3,1,3,5,5,2,0,0,Switzerland,1967,dissatisfied
63,Frequent Traveler,47,Work Commute,First Class,3835,4,5,4,4,4,4,4,5,4,5,5,,4,4,933,920,Italy,2018,satisfied
64,Occasional Traveler,29,Work Commute,Standard,1859,1,0,1,4,5,1,,5,5,2,4,5,2,5,3,5,Italy,2004,dissatisfied
65,Frequent Traveler,9,Work Commute,First Class,5397,3,3,3,3,3,3,3,3,2,4,3,3,2,3,8,19,Norway,1987,dissatisfied
66,Frequent Traveler,80,Work Commute,First Class,2727,5,5,5,5,4,4,4,5,5,5,5,4,5,4,0,0,Belgium,1947,satisfied
67,Occasional Traveler,32,Work Commute,First Class,1565,3,3,3,3,2,3,2,2,5,2,4,3,4,2,0,0,Italy,1983,dissatisfied
68,Frequent Traveler,55,,First Class,309,1,1,1,1,2,4,4,5,5,5,5,3,5,5,0,0,Switzerland,2017,satisfied
69,Frequent Traveler,43,Work Commute,First Class,1730,3,3,3,3,2,4,4,5,5,5,5,5,5,3,1,8,Norway,1987,satisfied
70,Frequent Traveler,52,Work Commute,First Class,2135,1,1,1,1,5,4,4,5,5,5,5,3,5,5,0,0,Switzerland,1986,satisfied
71,Occasional Traveler,17,Work Commute,Standard,1451,1,3,1,,3,1,3,3,5,3,3,5,3,3,10,4,Italy,1979,dissatisfied
72,Frequent Traveler,40,Work Commute,First Class,2285,5,5,5,5,2,2,2,3,2,5,4,2,4,2,211,213,France,1950,satisfied
73,Frequent Traveler,44,Work Commute,First Class,3265,3,4,4,4,1,4,3,3,3,3,3,1,3,4,0,0,Spain,1992,dissatisfied
74,Frequent Traveler,41,Work Commute,First Class,1144,1,1,4,1,4,4,5,5,5,5,5,4,5,3,0,0,Sweden,1943,satisfied
75,Frequent Traveler,41,Work Commute,First Class,2466,5,5,5,5,4,4,4,5,5,5,5,5,5,4,0,0,Spain,1976,satisfied
76,Frequent Traveler,57,Work Commute,First Class,429,5,5,3,5,1,2,1,4,4,4,4,1,4,3,0,0,Netherlands,1973,satisfied
77,Frequent Traveler,51,Work Commute,First Class,3549,1,1,1,1,1,4,3,1,1,1,1,4,1,1,0,7,Belgium,1934,dissatisfied
78,Frequent Traveler,40,Work Commute,First Class,2789,3,3,4,3,4,4,5,4,4,5,4,3,4,4,36,42,Austria,1932,satisfied
79,Frequent Traveler,43,Work Commute,First Class,3020,1,1,1,1,5,5,5,4,4,4,4,5,4,3,55,54,Netherlands,1975,satisfied
80,Frequent Traveler,54,Work Commute,First Class,4882,2,3,5,5,3,2,4,2,1,4,3,4,2,4,326,317,Norway,1971,dissatisfied
81,Frequent Traveler,45,Work Commute,First Class,684,2,2,1,2,2,4,4,4,4,4,4,3,4,4,0,0,Spain,1960,satisfied
82,Frequent Traveler,54,Leisure Trip,First Class,864,4,4,4,4,4,4,4,4,5,2,5,5,5,4,13,0,Spain,1980,satisfied
83,Frequent Traveler,25,Leisure Trip,Standard,3205,1,4,1,3,2,1,2,2,4,2,3,1,4,2,14,8,Norway,1981,dissatisfied
84,Frequent Traveler,29,Work Commute,First Class,3842,1,3,3,,1,1,1,1,1,3,4,4,4,1,0,0,Netherlands,2002,dissatisfied
85,Frequent Traveler,37,Work Commute,First Class,2326,5,5,5,5,5,4,4,5,5,5,5,3,5,3,25,28,Belgium,1969,satisfied
86,Frequent Traveler,26,Leisure Trip,Standard,1809,3,5,3,3,5,5,5,5,3,3,5,3,4,5,128,126,Sweden,2017,satisfied
87,Frequent Traveler,70,Leisure Trip,First Class,233,0,0,0,3,3,1,3,2,2,2,2,3,2,1,35,40,Sweden,1936,satisfied
88,Frequent Traveler,34,Work Commute,First Class,1950,2,3,3,3,4,3,3,2,2,2,2,3,2,3,90,90,Belgium,1932,dissatisfied
89,Frequent Traveler,64,Leisure Trip,Standard,3893,1,4,1,3,1,2,2,5,4,3,4,2,4,2,16,40,Belgium,1986,dissatisfied
90,Frequent Traveler,46,Leisure Trip,Standard,3100,1,5,1,3,2,1,2,2,5,4,2,4,3,2,0,0,Austria,1998,dissatisfied
91,Occasional Traveler,40,Work Commute,First Class,1857,3,3,3,3,5,3,5,5,1,3,5,1,1,5,0,0,France,1990,dissatisfied
92,Frequent Traveler,54,Work Commute,First Class,1779,1,1,1,1,5,3,5,4,4,4,4,5,4,3,0,3,France,1965,satisfied
93,Frequent Traveler,28,Work Commute,First Class,5106,3,3,4,3,5,5,5,5,3,2,4,4,5,5,41,22,France,1974,satisfied
94,Frequent Traveler,11,Leisure Trip,Standard,1838,2,5,2,2,2,2,2,2,3,4,5,3,5,2,9,1,Italy,1996,dissatisfied
95,Frequent Traveler,43,Work Commute,Standard,1380,4,3,3,3,4,4,4,4,1,2,2,3,3,4,0,0,Netherlands,1932,dissatisfied
96,Frequent Traveler,54,Work Commute,First Class,3624,1,1,1,1,5,4,4,2,2,2,2,3,2,4,0,7,France,1936,satisfied
97,Frequent Traveler,17,Work Commute,First Class,1557,4,4,1,4,4,4,4,4,3,3,3,1,1,4,0,0,Austria,2003,satisfied
98,Frequent Traveler,25,Work Commute,Comfort,2183,1,3,4,4,1,1,2,1,1,3,4,4,3,1,1,7,Austria,1948,dissatisfied
99,Frequent Traveler,47,Leisure Trip,Standard,1561,4,4,4,3,5,4,5,5,3,2,5,3,5,5,0,0,Spain,1963,dissatisfied
100,Frequent Traveler,64,Work Commute,First Class,2384,1,1,1,1,3,2,3,1,1,1,1,4,1,4,3,0,France,1957,dissatisfied
101,Frequent Traveler,22,Leisure Trip,Standard,3065,2,2,2,2,4,4,5,4,4,4,5,1,4,3,10,0,Spain,1972,satisfied
102,Frequent Traveler,56,Work Commute,First Class,917,2,2,2,2,3,5,4,4,4,4,4,4,4,5,0,1,Germany,1985,satisfied
103,Frequent Traveler,50,Leisure Trip,Standard,2951,4,3,4,3,2,4,2,2,2,4,3,1,3,2,,0,Italy,2013,dissatisfied
