Passenger Type,Age,Type of Trip,Ticket Class,Trip Distance,Seat comfort,Departure/Arrival time convenient,Dining Service,Platform Location,Onboard wifi service,Onboard entertainment,Online support,Ease of Online booking,Train Staff Service,Leg room service,Baggage handling,Ticket Verification Service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,nation,Train Model Year,satisfaction
Frequent Traveler,59.0,Work Commute,First Class,1470.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,7.0,0.0,Norway,1964.0,satisfied
Occasional Traveler,22.0,Work Commute,Standard,1771.0,1.0,1.0,1.0,4.0,4.0,1.0,5.0,4.0,3.0,4.0,3.0,1.0,4.0,4.0,0.0,0.0,Spain,1967.0,dissatisfied
Frequent Traveler,55.0,Work Commute,First Class,3657.0,0.0,5.0,0.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,12.0,8.0,Switzerland,1941.0,satisfied
Frequent Traveler,41.0,Work Commute,First Class,1796.0,0.0,4.0,0.0,1.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,0.0,0.0,Belgium,1980.0,satisfied
Frequent Traveler,42.0,Work Commute,Standard,1709.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,3.0,2.0,0.0,0.0,Belgium,1987.0,dissatisfied
Frequent Traveler,36.0,Work Commute,First Class,3035.0,3.0,2.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,48.0,38.0,Belgium,2009.0,dissatisfied
Occasional Traveler,28.0,Work Commute,Standard,1904.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,1.0,4.0,5.0,2.0,0.0,0.0,Sweden,1964.0,dissatisfied
Frequent Traveler,54.0,Work Commute,First Class,3260.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,Switzerland,1942.0,satisfied
Frequent Traveler,25.0,Work Commute,First Class,3640.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,4.0,3.0,2.0,86.0,63.0,Switzerland,1941.0,dissatisfied
Frequent Traveler,52.0,Work Commute,Standard,812.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,Sweden,1973.0,dissatisfied
Occasional Traveler,29.0,Work Commute,First Class,2773.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0,1.0,4.0,5.0,4.0,5.0,4.0,1.0,0.0,0.0,Netherlands,2002.0,satisfied
Frequent Traveler,57.0,Leisure Trip,Standard,1099.0,2.0,2.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0,Sweden,1952.0,satisfied
Frequent Traveler,57.0,Work Commute,First Class,728.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,0.0,Belgium,1973.0,satisfied
Frequent Traveler,48.0,Work Commute,Standard,339.0,5.0,5.0,1.0,5.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,0.0,0.0,Netherlands,1995.0,satisfied
Frequent Traveler,23.0,Work Commute,First Class,2074.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,5.0,5.0,1.0,1.0,0.0,3.0,Belgium,1931.0,satisfied
Frequent Traveler,49.0,Work Commute,Comfort,491.0,1.0,2.0,2.0,2.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,Spain,1959.0,dissatisfied
